attribute_id,project,risk,rationale
htan2:AlignmentWorkflowType,HTAN2,Low,"This describes the name/type of the analysis workflow used on a dataset — a technical, non-personal processing attribute (pipeline/workflow metadata). It does not contain identifiers or quasi-identifiers and thus poses low re-identification/privacy risk."
htan:AlignmentWorkflowType,HTAN,Low,Describes the technical analysis workflow applied to a dataset (pipeline name/type). This is non-personal technical metadata about processing and does not identify individuals or provide quasi-identifiers.
htan2:AlignmentWorkflowUrl,HTAN2,Low,"URL linking to the computational workflow used for read alignment (e.g., DockStore). This is technical/methodological metadata and does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial information."
htan:AlignmentWorkflowUrl,HTAN,Low,"A technical metadata field linking to the read-alignment workflow (e.g., DockStore URL). This is non-personal computational provenance information and does not directly identify individuals or reveal sensitive clinical/financial data."
gf:AltSampleID,GF,Moderate,"An alternative ID for a biosample is a specimen identifier (biospecimen ID). While not a direct personal identifier, such IDs can link records or be cross-referenced to re-identify individuals, so it is classified as Moderate risk."
adkp:AnalysisType,ADKP,Low,"'AnalysisType' describes the type of analysis (technical/study metadata) and contains no personal identifiers, quasi-identifiers, or sensitive content. Although no validation rules or values are provided, the attribute is non-personal technical metadata and thus Low risk."
el:AnalysisType,EL,Low,"Describes the type of analysis (technical/study metadata). It is not an identifier or quasi-identifier and contains no values or validation rules suggesting sensitive or re-identifiable information, so it is low sensitivity."
nf-osi:AntibodyID,NF-OSI,Low,"AntibodyID (RRID or vendor/catalog ID) is technical reagent metadata that does not identify individuals or sensitive attributes. It relates to experimental materials and instrument/reagent provenance, so it is non-personal technical metadata (Low)."
gf:AntibodyName,GF,NeedsReview,"Description is listed as 'TBD' and there are no validation rules or valid values provided, so scope and sensitivity are unclear; cannot determine whether this is reagent/instrument metadata (Low) or contains potentially sensitive identifiers (Moderate/High). Further detail required."
htan2:AntibodyNotes,HTAN2,Low,"Describes technical notes about antibodies (replacements and recognition observations), i.e., reagent/experimental metadata. No personal identifiers, cohort markers, or sensitive clinical/identifying information indicated, so it is non-personal technical metadata."
gf:AppliedHardTrimming,GF,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided; insufficient information to assess whether this is identifying, quasi-identifying, or non-personal metadata."
htan2:AppliedHardTrimming,HTAN2,Low,"This describes a technical data-processing step (whether hard trimming was applied to sequencing reads). It contains no personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information, so it is non-personal technical metadata."
htan:AppliedHardTrimming,HTAN,Low,"Indicates a sequencing/data-processing step (whether hard trimming was applied). This is technical metadata about file processing, contains no personal identifiers or quasi-identifiers and poses low re-identification risk."
el:ArrayInformation,EL,Low,"Describes technical metadata about the genotyping array type (e.g., Immunochip). This is non-personal technical/study method information and does not directly identify individuals or materially increase re-identification risk."
el:ArrayManufacturer,EL,Low,"This is non-personal technical metadata describing the genotyping array manufacturer(s). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial information and therefore poses low re-identification risk."
adkp:Assay,ADKP,Low,Describes the technology/assay used to generate the file data — a non-personal technical metadata field (instrument/method detail) that does not identify individuals or provide quasi-identifiers; therefore classified as Low risk.
el:Assay,EL,Low,"Describes the technical method/technology used to generate the data (assay type). This is non-personal technical metadata about analysis/instrumentation and does not reveal identity, contact, location, sensitive clinical, or quasi-identifying information."
nf-osi:Assay,NF-OSI,Low,"Describes the technical assay/technology used to generate the file (e.g., sequencing, mass spec). This is non-personal technical metadata and does not reveal identity, contact, precise location, or sensitive clinical/behavioral information; therefore it poses low re-identification/privacy risk."
htan2:AssayType,HTAN2,Low,"Describes the technical type/level of assay (e.g., RPPA, NanoString DSP). This is non‑personal technical metadata about laboratory methods and does not identify individuals or provide quasi‑identifiers, so sensitivity is low."
htan:AssayType,HTAN,Low,"Describes technical assay type/level (e.g., RPPA, NanoString DSP). This is non-personal technical metadata about experimental methods and does not reveal individual identity, sensitive clinical, or contact information."
el:AssemblyQual,EL,Low,This is a technical metadata field describing genome assembly quality categories (high/medium/low) and assembly statistics; it does not contain personal identifiers or quasi-identifiers and does not reveal sensitive personal/clinical/financial information.
el:AssemblySoftware,EL,Low,"Describes technical bioinformatics metadata (assembly tool, version, parameters). Contains no personal identifiers or quasi-identifiers and is non-personal instrument/software information, so classified as Low risk."
htan2:AssociatedmRNALibraryDataFileID,HTAN2,Moderate,"This is an internal HTAN file identifier (HTAN ID like HTANx_yyy_zzz) that serves as a sample/data-file-level identifier. While not direct PII, file/subject-level IDs can link records across datasets and thus could aid re-identification if combined with other data, so it is a quasi-identifier requiring moderate protection."
nf-osi:Author,NF-OSI,High,"Contains direct identifiers or identity-linked identifiers (personal name, ORCID ID, GitHub profile link). These values can reveal or directly link to an individual, so classification is High risk."
htan2:AverageBaseQuality,HTAN2,Low,"AverageBaseQuality is a technical sequencing quality metric (numeric QC value from samtools). It contains no personal identifiers or quasi-identifiers and pertains to file/experiment quality, so it is non-personal technical metadata (Low)."
htan:AverageBaseQuality,HTAN,Low,"Average base quality is a technical numeric metric derived from samtools summarizing sequencing read quality. It does not contain personal identifiers, cohort info, or sensitive clinical data and is non-personal technical metadata."
nf-osi:AverageBaseQuality,NF-OSI,Low,"AverageBaseQuality is a technical sequencing quality metric (from samtools) and does not reveal personal identity, contact, location, or sensitive clinical information. It is non-personal technical metadata used for QC."
htan2:AverageInsertSize,HTAN2,Low,"AverageInsertSize is a technical sequencing metric (fragment/insert length from samtools). It is non-personal technical metadata that does not directly identify individuals or serve as a quasi-identifier, so it poses low re-identification risk."
htan:AverageInsertSize,HTAN,Low,"Average insert size is a technical sequencing metric (library fragment length) produced by samtools. It is non-identifying technical metadata about the sequencing run/instrument and does not disclose personal identity, location, or sensitive clinical/behavioral information."
nf-osi:AverageInsertSize,NF-OSI,Low,"Average insert size is a technical sequencing metric (reported by samtools) describing library fragment length. It does not identify individuals, provide demographic or longitudinal information, or reveal sensitive clinical/financial data, so it is non-personal technical metadata."
htan2:AverageReadLength,HTAN2,Low,"AverageReadLength is a technical sequencing metric (average read length from samtools). It contains no personal identifiers or quasi-identifiers and is non-personal technical metadata, so it poses low re-identification risk."
htan:AverageReadLength,HTAN,Low,"AverageReadLength is a technical sequencing metric (integer from samtools) describing read length. It is non-personal instrument/file-level metadata and does not reveal identity, contact, location, or sensitive clinical/behavioral information."
nf-osi:AverageReadLength,NF-OSI,Low,Average read length is technical sequencing metadata (samtools output) that does not identify individuals or reveal sensitive clinical/behavioral information; it is non-personal instrument/sample metric.
el:BackgroundTrait,EL,High,"Describes health/behavioral background traits of study participants (e.g., nicotine dependence). This is highly sensitive clinical/behavioral information and can reveal sensitive phenotypes, so should be treated as High risk."
btc:BaseCallerName,BTC,Low,Name of the base caller is technical software metadata (instrument/software name). It does not identify individuals or cohorts and contains no sensitive or quasi-identifying content.
htan2:BaseCallerName,HTAN2,Low,"Name of the base caller is technical instrument/software metadata (e.g., sequencing software) and does not identify individuals or provide sensitive clinical/ demographic information; therefore it is low-sensitivity."
htan:BaseCallerName,HTAN,Low,Name of the base-calling software is technical instrument/software metadata (non-personal) and does not identify individuals or sensitive attributes; therefore it is low sensitivity.
btc:BaseCallerVersion,BTC,Low,"This is a technical software metadata field (base caller version string). It contains non-personal instrument/software information and does not reveal individual identity, location, or sensitive attributes."
htan2:BaseCallerVersion,HTAN2,Low,This is a software/tool version (base caller version) — non-personal technical metadata about data processing. It does not identify individuals or sensitive attributes.
htan:BaseCallerVersion,HTAN,Low,"This is technical metadata (software version of the base caller). It does not contain personal identifiers or quasi-identifiers and conveys no sensitive clinical, demographic, or location information, so it is Low risk."
btc:BasicStatistics,BTC,Low,"FASTQC metric state (e.g., PASS/WARN/FAIL) is technical QC metadata about sequencing quality. It contains no personal identifiers or quasi-identifiers and is non-personal instrument/software output, so classed as Low risk."
htan2:BasicStatistics,HTAN2,Low,This is a FASTQC state classification for sequencing QC metrics—technical quality metadata about sequence data (file/instrument-level). It does not contain direct or quasi-identifying personal information and is non-personal technical metadata.
htan:BasicStatistics,HTAN,Low,"This is a FASTQC state classification (e.g., PASS/WARN/FAIL) for sequencing QC metrics. It is technical quality-control metadata about sequencing reads and does not contain personal identifiers or quasi-identifiers, so it is Low risk."
htan2:BatchCorrectionMethod,HTAN2,Low,Describes a data-processing method used to batch-correct Level 3 data. This is non-personal technical metadata about analysis methods and does not contain identifiers or sensitive subject information.
htan:BatchCorrectionMethod,HTAN,Low,Describes a technical data-processing method (batch correction applied to Level 3 data). This is non-personal technical/provenance metadata and does not contain identifiers or quasi-identifiers that could re-identify individuals.
el:BatchID,EL,Low,"BatchID is a contributor-provided batch identifier used for sample/experiment grouping (technical metadata). It does not directly identify individuals or contain clinical/DEMOGRAPHIC data and is non-personal operational metadata, so risk is Low."
gf:BatchID,GF,NeedsReview,"Description is listed as TBD and there are no validation rules or valid values. Scope and format are unclear (could be a simple lab batch code, a cohort identifier, or a coded individual-level identifier), so sensitivity cannot be determined without additional information."
nf-osi:BatchID,NF-OSI,Moderate,"BatchID is a quasi-identifier linking samples to specific sequencing runs or collection times. While not a direct identifier, it can enable re-identification or linkage attacks when combined with other metadata, so it presents moderate risk."
el:BatchSizeUnit,EL,NeedsReview,"Description is listed as 'TBD' with no validation rules or valid values provided, so scope and sensitivity are unclear; insufficient information to classify."
htan2:BeadsTotal,HTAN2,Low,This is a technical sequencing metric (number of sequenced beads) tied to raw counts matrices. It does not directly identify individuals or provide sensitive demographic/clinical information and is standard non-personal technical metadata.
htan:BeadsTotal,HTAN,Low,Technical sequencing metric (number of sequenced beads) tied to raw counts matrix; no personal identifiers or quasi-identifying demographics. Classified as non-personal technical metadata.
htan2:BiotinEnrichment,HTAN2,Low,"Describes a technical experimental parameter (use of biotin for enrichment) related to sample processing. It contains no personal identifiers, demographic or sensitive health information and thus is non-personal technical metadata."
htan:BiotinEnrichment,HTAN,Low,"This describes a laboratory protocol detail (use of biotin for enrichment of ligation products), which is non-personal technical metadata about experimental methods rather than any identifier or sensitive subject information."
htan2:BisulfiteConversion,HTAN2,Low,"This describes the name of the bisulfite conversion kit (a laboratory reagent/technical detail). It is non-personal technical metadata about sample processing and does not reveal individual identity, contact, location, or sensitive clinical information."
htan:BisulfiteConversion,HTAN,Low,"This is technical laboratory metadata (name of bisulfite conversion kit) describing reagents/protocol components, not personal, demographic, or specimen-identifying information, and therefore poses low re-identification or sensitivity risk."
nf-osi:BisulfiteConversionKitID,NF-OSI,Low,"Name of a laboratory reagent/product (bisulfite conversion kit) is technical processing metadata and does not contain personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information. Classified as non-personal technical metadata (Low)."
htan2:BlacklistRatio,HTAN2,Low,This is a technical sequencing QC metric (ratio of reads in blacklist regions). It conveys non-personal technical information about data quality/instrument mapping and does not identify individuals or reveal sensitive attributes.
htan:BlacklistRatio,HTAN,Low,"This is a sequencing QC metric (proportion of reads mapping to blacklist regions). It is technical, non-personal metadata about data quality/instrument performance and does not reveal identity, contact, location, or sensitive clinical information."
htan2:BlacklistRegionFragments,HTAN2,Low,"This is a technical QC metric (count of sequencing fragments overlapping genomic blacklisted regions). It conveys no personal identifiers, demographic or longitudinal data and is non-sensitive technical metadata."
htan:BlacklistRegionFragments,HTAN,Low,"This is a technical QC metric (count of sequencing fragments overlapping genomic blacklist regions). It conveys non-personal technical metadata about sample/library quality and does not include identifiers, demographics, or sensitive clinical/genomic variant information."
htan2:BulkMethylationAssayType,HTAN2,Low,"This attribute describes the technical assay type (bulk methylation assay) determining genomic coverage, which is non-personal experimental metadata about laboratory methods rather than identifiable or sensitive personal information."
htan:BulkMethylationAssayType,HTAN,Low,Describes the type of bulk methylation assay (technical/genomic-coverage metadata). This is non-personal instrument/assay metadata and does not identify individuals or provide quasi-identifiers; low re-identification risk.
htan2:BulkMethylationGenomicReference,HTAN2,Low,"Specifies the human genome reference used for read alignment (e.g., GRCh38); this is technical methodological metadata and does not contain personal identifiers or quasi-identifiers and thus poses low re-identification risk."
htan:BulkMethylationGenomicReference,HTAN,Low,"This is technical processing metadata specifying which human genome reference (e.g., GRCh38/hg19) was used for read alignment. It contains no personal identifiers or sensitive health/clinical information and is non-personal technical metadata."
htan2:CDSavgReadLength,HTAN2,Low,"CDSavgReadLength is a technical sequencing metric (average read length = Bases/Reads). It is non-personal instrument/quality metadata and does not reveal identity, demographics, or sensitive clinical information."
htan:CDSavgReadLength,HTAN,Low,This is a technical sequencing metric (average read length calculated as Bases/Reads). It contains no personal identifiers or quasi-identifiers and is non-sensitive instrument-level metadata.
htan:CDSbases,HTAN,Low,"This is a non-personal technical sequencing metric (count of unique basecalls) describing data content/quality. It does not directly identify individuals or provide quasi-identifying demographic, location, or clinical information."
htan2:CDScoverage,HTAN2,Low,"Depth-of-coverage metric (Unique Aligned Basecalls / Reference Length) is a technical sequencing quality/assembly metric. It does not contain personal identifiers or quasi-identifiers and is non-personal technical metadata, so risk is Low."
htan:CDScoverage,HTAN,Low,"This is a technical sequencing metric (depth of coverage calculated as unique aligned basecalls/reference length). It does not contain direct identifiers, quasi-identifiers, or sensitive clinical/financial data and is non-personal technical metadata."
htan2:CDScustomAssemblyFastaFileForAlignment,HTAN2,Low,This is a technical pipeline detail (the name of the custom assembly FASTA file used for alignment). It does not contain direct identifiers or personal data and therefore constitutes non-personal technical metadata.
htan:CDScustomAssemblyFastaFileForAlignment,HTAN,Low,"This is a technical metadata field (name of the custom assembly FASTA file used for alignment). It does not contain personal identifiers, demographics, or sensitive clinical data and thus poses low re-identification risk."
htan2:CDSdesignDescription,HTAN2,Low,"Contains free-form technical methods/materials and methods for sequencing library construction — procedural laboratory metadata. It does not convey personal identifiers, demographics, longitudinal markers, or sensitive clinical/financial information, so it is non-personal technical metadata (Low)."
htan:CDSdesignDescription,HTAN,Low,"This is a free-form technical description of sequencing library preparation methods (materials and methods). It contains non-personal laboratory and protocol details rather than identifiers, quasi-identifiers, or sensitive clinical/behavioral data, so it is categorized as low risk."
htan2:CDSinstrumentModel,HTAN2,Low,"Describes the sequencing instrument model — technical, non-personal metadata about equipment. Does not reveal personal identity, contact, location, or sensitive clinical/behavioral information, so classified as Low risk."
htan:CDSinstrumentModel,HTAN,Low,"Instrument model used for sequencing is non-personal technical metadata (e.g., instrument make/model). It does not directly identify individuals or provide sensitive clinical/financial information; thus classified as Low risk."
htan2:CDSlibraryId,HTAN2,Moderate,"This is a short unique identifier for a sequencing library (a biospecimen/sample-level ID). Such specimen/library IDs are quasi-identifiers that are expected to be anonymized but could facilitate linkage or re-identification when combined with other data, so classify as Moderate risk."
htan:CDSlibraryId,HTAN,Moderate,A short unique identifier for a sequencing library is a biospecimen/library ID that can link records across datasets and facilitate re-identification; it is not a direct personal identifier but is a quasi-identifier and should be treated as moderately sensitive.
htan2:CDSlibraryLayout,HTAN2,Low,"Describes sequencing library layout (Paired-end or Single) — a non-personal technical attribute about sequencing protocol/instrumentation. Does not reveal identity, demographics, location, or sensitive clinical information."
htan:CDSlibraryLayout,HTAN,Low,"Indicates sequencing library layout (Paired-end or Single), a technical experiment parameter. It conveys no personal identifiers or quasi-identifiers and is standard non-personal technical metadata, so low sensitivity."
htan2:CDSlibrarySelection,HTAN2,Low,Describes the library selection method (a laboratory/protocol-level attribute) for sequencing/library preparation. This is technical metadata without personal identifiers or quasi-identifiers and does not convey sensitive individual information.
htan:CDSlibrarySelection,HTAN,Low,'Library Selection Method' describes a technical experimental parameter (sequencing/library preparation method). This is non-personal technical metadata about sample processing and does not reveal identity or sensitive personal information.
htan2:CDSlibraryStrategy,HTAN2,Low,"'Library strategy' refers to technical sequencing/library preparation metadata (e.g., library type/strategy). It contains non-personal technical details about sample processing/instrumentation rather than identifiers or sensitive subject data, so it is Low risk."
htan:CDSlibraryStrategy,HTAN,Low,"'Library strategy' is technical experimental metadata describing sequencing/library prep approach (assay-level), not personal or quasi-identifying information. It is non-personal technical metadata and poses low re-identification risk."
htan2:CDSnumberOfReads,HTAN2,Low,"This is a technical metric (total number of sequencing reads) describing file content. It does not directly identify individuals, reveal contact/clinical/precise location data, or serve as a quasi-identifier—therefore classified as non-personal technical metadata (Low)."
htan2:CDSplatform,HTAN2,Low,"This attribute records the sequencing platform (instrument/technology) used — technical, non-personal metadata about experimental equipment. It does not contain identifiers or quasi-identifiers tied to individuals and therefore constitutes low sensitivity."
htan:CDSplatform,HTAN,Low,"This describes the sequencing instrument/platform used (technical metadata). It does not contain personal identifiers, demographic, or sensitive clinical information and is a non-personal technical attribute."
htan2:CDSreferenceGenomeAssembly,HTAN2,Low,This is technical metadata indicating which NCBI reference genome assembly was used for aligning a BAM file. It does not contain personal identifiers or quasi-identifiers and is non-sensitive instrument/processing information.
htan:CDSreferenceGenomeAssembly,HTAN,Low,This attribute records the reference genome assembly used for BAM alignment (a technical detail about file processing). It does not contain personal identifiers or quasi-identifiers; it is non-personal technical metadata relevant to data processing and interpretation.
htan2:CDSsequenceAlignmentSoftware,HTAN2,Low,"This is technical metadata naming the software used to align sequencing data. It contains no personal identifiers, quasi-identifiers, or sensitive clinical/financial information and therefore poses low re-identification/privacy risk."
htan:CDSsequenceAlignmentSoftware,HTAN,Low,"Name of the software used for nucleotide sequence alignment is technical metadata about tools/settings, not personally identifying or sensitive clinical/financial information; therefore it is low risk."
gf:CatalogNumber,GF,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so scope and sensitivity are unclear — needs further detail to assess whether this is a direct identifier, quasi-identifier, or non-identifying technical code."
htan2:CatalogNumber,HTAN2,NeedsReview,Label and description only state 'Catalog Number' with no context or validation rules; could refer to non-personal product/reagent identifiers (Low) or to sample/specimen IDs linked to donors (Moderate/High). Insufficient information to classify definitively; review needed.
btc:CellBarcode,BTC,NeedsReview,"Description is 'TBD' with no validation rules or valid values. 'CellBarcode' could be a persistent cell identifier (potentially a quasi-identifier), but scope and format are unclear—insufficient information to classify."
gf:CellBarcodeOffset,GF,Low,A numeric technical parameter likely indicating barcode position/offset in processing; it is non-identifying instrument/processing metadata and does not reveal personal identity or sensitive information.
gf:CellBarcodeTag,GF,NeedsReview,"Attribute description is 'TBD' with no validation rules or valid values. Name suggests a cell barcode which could be a persistent identifier or linkable quasi-identifier, but scope and formatting are unclear—insufficient information to classify."
htan:CellBarcodeTag,HTAN,Moderate,"CellBarcodeTag is a SAM tag containing cell barcode identifiers (e.g., CB:Z). While not a direct personal identifier, cell barcodes are quasi-identifiers tied to individual cells/samples and could enable re-identification or linkage across datasets when combined with other metadata, so treat as Moderate risk."
gf:CellMedianNumberGenes,GF,Low,"This is a technical QC metric (median number of genes detected per cell), numeric and aggregate per cell. It does not contain direct identifiers, demographic/cohort markers, or biospecimen IDs and therefore poses low re‑identification risk."
htan2:CellMedianNumberGenes,HTAN2,Low,Median number of genes detected per cell is an aggregate technical/assay quality metric (sequencing sensitivity) and does not contain personal identifiers or quasi-identifiers; low re-identification risk.
htan:CellMedianNumberGenes,HTAN,Low,"This is an aggregate technical QC metric (median number of genes detected per cell) describing assay performance. It contains no personal identifiers or quasi-identifiers and is non-personal technical metadata, so risk is Low."
gf:CellMedianNumberReads,GF,Low,"Numeric sequencing QC metric (median reads per cell). This is an aggregate technical property of a dataset/sample, contains no direct identifiers or sensitive clinical/ demographic information, and poses low re-identification risk."
htan2:CellMedianNumberReads,HTAN2,Low,"A technical sequencing/QC metric (median reads per cell). Does not contain personal identifiers, demographics, or sensitive clinical information and is non-identifying technical metadata."
htan:CellMedianNumberReads,HTAN,Low,"This is a technical sequencing metric (median reads per cell), non-personal instrument/output metadata that does not identify individuals or cohorts and poses low privacy risk."
gf:CellTotal,GF,Low,"Represents a technical summary (number of sequenced cells in the raw counts matrix). This is non-personal, non-identifying technical metadata about the dataset rather than individual-level sensitive information, so risk is Low."
htan2:CellTotal,HTAN2,Low,This is a technical/experimental metric (number of sequenced cells for a raw counts matrix). It does not contain direct identifiers or sensitive personal/clinical information and therefore constitutes low sensitivity.
htan:CellTotal,HTAN,Low,"Count of sequenced cells is a non-personal, technical assay metric applied to the raw counts matrix. It does not directly identify individuals or provide quasi-identifiers and is standard technical metadata, so risk is Low."
nf-osi:Channel,NF-OSI,Low,Describes a technical property of the data file (color channel used to generate the file). This is non-personal technical metadata and does not reveal identity or sensitive information.
gf:ChannelID,GF,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so the scope and sensitivity of 'ChannelID' are unclear; insufficient information to classify as High, Moderate, or Low."
gf:ChannelName,GF,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so the scope and whether this attribute contains identifiers or sensitive information is unclear; requires further review."
gf:ChannelPassedQC,GF,NeedsReview,Description is listed as TBD and there are no validation rules or valid values; the scope and sensitivity of this attribute are unclear and require further review.
htan2:ChimericRead-Pairs,HTAN2,Low,"This is a technical sequencing QC metric (count of chimerically mapped read-pairs). It is non-personal technical metadata and does not constitute an identifier, quasi-identifier, or sensitive clinical/financial information."
nf-osi:ChipPosition,NF-OSI,Moderate,"ChipPosition is a user-specified identifier for the specific position on a methylation microarray chip. While not a direct personal identifier, it is a specimen/quasi-identifier that can link samples across datasets or to lab records and thus could aid re-identification when combined with other data, so it warrants a Moderate classification."
nf-osi:Citation,NF-OSI,Low,"Contains a dataset/resource citation (e.g., DOI) that identifies the data product but does not contain personal identifiers or quasi-identifiers. This is non-personal technical/provenance metadata."
gf:Clone,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values. Scope and content are unclear (could be identifier, sample label, or technical field), so sensitivity cannot be determined without further information."
htan2:Clone,HTAN2,NeedsReview,"Attribute provides only the label 'Clone' with no description, validation rules, or valid values. Its meaning is ambiguous (could be cell clone identifier, experimental clone, or non-identifying biological descriptor); additional detail is needed to determine whether it is a direct identifier (High), quasi-identifier (Moderate), or non-personal technical metadata (Low)."
htan:Clone,HTAN,NeedsReview,"Attribute labeled only as 'Clone' with no description, validation rules, or valid values is ambiguous—could be a direct identifier (e.g., clone ID), biological clone annotation, or a technical label (e.g., antibody clone). Insufficient information to classify sensitivity reliably."
gf:Comment,GF,High,"Unstructured free-text QC comment with no validation or constraints; may contain direct identifiers, PII/PHI, or other sensitive information and thus poses high re-identification/privacy risk."
htan:CommitSHA,HTAN,Low,"CommitSHA is a short Git commit SHA (8 hex characters) identifying a software version. This is technical reproducibility metadata and does not contain personal identifiers or sensitive information, so it is Low risk."
adkp:Component,ADKP,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided; scope and content of the attribute are unclear, so sensitivity cannot be determined without further information."
amp-aim:Component,AMP-AIM,NeedsReview,"Description is vague—'high-level attribute grouping variable' with no definition, valid values, or validation rules. Scope and whether it contains identifiers, cohort tags, or non-personal categories are unclear, so classification requires more detail."
el:Component,EL,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so the attribute scope and content are unclear; insufficient information to determine sensitivity."
gf:Component,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values provided, so the scope and sensitivity are unclear; insufficient information to classify risk."
mc2:Component,MC2,Low,"Describes a general metadata category (e.g., Tools, Publications) applied uniformly to all rows. Non-personal, study-logistical/technical metadata with no identifiers or quasi-identifiers; low re-identification risk."
nf-osi:CompoundDose,NF-OSI,High,Contains clinical treatment information (dose quantity for a treatment compound). Treatment/clinical data are highly sensitive as they reveal health status and regimen and could contribute to re-identification when linked with other data; no validation/masking specified.
